,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
0,Alabama,All firms,66709,4948,7474,5799,13156,30208,5124
1,Alabama,"All firms classifiable by gender, ethnicity, race, and veteran status",61568,4782,7319,5650,12671,28272,2873
2,Alabama,American Indian and Alaska Native,344,14,40,41,80,168,1
3,Alabama,Asian,3896,451,826,578,1069,860,112
4,Alabama,Black or African American,2209,182,389,217,501,901,20
5,Alabama,Equally minority/nonminority,500,118,43,36,152,147,4
6,Alabama,Minority,7474,795,1343,1015,1836,2330,156
7,Alabama,Native Hawaiian and Other Pacific Islander,24,0,2,1,1,17,3
8,Alabama,Nonminority,53594,3869,5933,4600,10683,25796,2713
9,Alabama,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",5141,166,156,148,485,1935,2251
10,Alabama,Some other race,378,62,17,77,75,147,1
11,Alabama,White,54575,3979,6010,4688,10915,26217,2766
