,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
12,Alaska,All firms,15467,1236,1864,1389,3343,6479,1157
13,Alaska,"All firms classifiable by gender, ethnicity, race, and veteran status",13636,1192,1741,1263,3174,5717,549
14,Alaska,American Indian and Alaska Native,349,55,32,101,55,102,4
15,Alaska,Asian,754,77,185,114,198,161,18
16,Alaska,Black or African American,280,85,53,10,62,67,2
17,Alaska,Equally minority/nonminority,313,34,29,20,53,178,0
18,Alaska,Minority,1908,302,345,275,416,532,39
19,Alaska,Native Hawaiian and Other Pacific Islander,23,0,5,0,10,8,0
20,Alaska,Nonminority,11415,856,1368,968,2706,5008,510
21,Alaska,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",1831,44,123,126,168,761,608
22,Alaska,Some other race,217,55,53,32,15,62,0
23,Alaska,White,11995,949,1447,1052,2825,5210,512
