,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
24,Arizona,All firms,97312,9261,13486,10479,21858,36427,5801
25,Arizona,"All firms classifiable by gender, ethnicity, race, and veteran status",90591,9066,13125,10092,20975,34291,3043
26,Arizona,American Indian and Alaska Native,961,173,141,123,235,281,8
27,Arizona,Asian,5755,867,868,824,1463,1711,23
28,Arizona,Black or African American,853,125,194,83,256,182,12
29,Arizona,Equally minority/nonminority,2626,347,289,431,512,995,52
30,Arizona,Minority,14908,2239,2420,1861,3649,4519,221
31,Arizona,Native Hawaiian and Other Pacific Islander,68,31,1,1,0,35,0
32,Arizona,Nonminority,73057,6480,10417,7800,16814,28776,2770
33,Arizona,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",6720,195,361,388,883,2136,2758
34,Arizona,Some other race,1884,348,277,253,364,601,40
35,Arizona,White,80911,7554,11616,8822,18783,31180,2955
