,GEO.display-label,RACE_GROUP.display-label,All firms,PCT_Firms with less than 2 years in business,PCT_Firms with 2 to 3 years in business,PCT_Firms with 4 to 5 years in business,PCT_Firms with 6 to 10 years in business,PCT_Firms with 11 to 15 years in business,PCT_Firms with 16 or more years in business
24,Arizona,All firms,97312,100.0,100.0,100.0,100.0,100.0,100.0
25,Arizona,"All firms classifiable by gender, ethnicity, race, and veteran status",90591,97.8943958536,97.3231499333,96.3068995133,95.960289139,94.1362176408,52.4564730219
26,Arizona,American Indian and Alaska Native,961,1.86804880682,1.04552869643,1.17377612368,1.07512123708,0.771405825349,0.137907257369
27,Arizona,Asian,5755,9.36183997408,6.43630431559,7.8633457391,6.69320157379,4.6970653636,0.396483364937
28,Arizona,Black or African American,853,1.34974624771,1.43852884473,0.792060311098,1.17119590081,0.499629395778,0.206860886054
29,Arizona,Equally minority/nonminority,2626,3.74689558363,2.14296307282,4.11298788052,2.34239180163,2.73149037802,0.896397172901
30,Arizona,Minority,14908,24.1766547889,17.9445350734,17.7593281802,16.6941165706,12.4056331842,3.80968798483
31,Arizona,Native Hawaiian and Other Pacific Islander,68,0.334737069431,0.00741509713777,0.00954289531444,0.0,0.0960825761111,0.0
32,Arizona,Nonminority,73057,69.970845481,77.2430668842,74.4345834526,76.9237807668,78.9963488621,47.7503878642
33,Arizona,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",6720,2.10560414642,2.67685006674,3.702643382,4.03971086101,5.86378235924,47.5435269781
34,Arizona,Some other race,1884,3.75769355361,2.05398190716,2.41435251455,1.66529417147,1.64987509265,0.689536286847
35,Arizona,White,80911,81.5678652413,86.1337683524,84.187422464,85.9319242383,85.5958492327,50.9394931908
