,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
36,Arkansas,All firms,46509,3616,5461,3804,9636,20520,3472
37,Arkansas,"All firms classifiable by gender, ethnicity, race, and veteran status",42201,3513,5336,3626,9234,18613,1879
38,Arkansas,American Indian and Alaska Native,338,34,24,6,91,181,1
39,Arkansas,Asian,1893,401,463,347,364,291,27
40,Arkansas,Black or African American,933,180,80,157,198,317,1
41,Arkansas,Equally minority/nonminority,480,34,136,48,124,126,12
42,Arkansas,Minority,3789,698,682,634,844,882,49
43,Arkansas,Native Hawaiian and Other Pacific Islander,6,0,0,0,6,0,0
44,Arkansas,Nonminority,37931,2782,4517,2945,8266,17605,1817
45,Arkansas,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",4308,102,125,178,402,1907,1593
46,Arkansas,Some other race,246,33,43,46,64,40,21
47,Arkansas,White,38804,2871,4685,3068,8477,17884,1819
