,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
48,California,All firms,681808,65727,96961,68050,152063,276246,22762
49,California,"All firms classifiable by gender, ethnicity, race, and veteran status",646823,64557,94827,65956,146916,259155,15412
50,California,American Indian and Alaska Native,3301,613,262,236,905,1201,84
51,California,Asian,136544,15906,23718,16165,34368,44599,1787
52,California,Black or African American,8910,1336,1137,1345,2055,2935,101
53,California,Equally minority/nonminority,18418,2151,3678,1899,4253,6165,272
54,California,Minority,217889,26640,37380,25789,54194,70977,2909
55,California,Native Hawaiian and Other Pacific Islander,1138,70,267,67,306,421,7
56,California,Nonminority,410516,35765,53768,38268,88469,182013,12232
57,California,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",34985,1170,2134,2094,5147,17091,7350
58,California,Some other race,24326,3408,4633,2821,6122,7008,334
59,California,White,470081,43085,63705,44889,102711,202611,13080
