,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
60,Colorado,All firms,122432,10821,16678,11973,27885,48721,6354
61,Colorado,"All firms classifiable by gender, ethnicity, race, and veteran status",113691,10441,16156,11402,26782,45589,3321
62,Colorado,American Indian and Alaska Native,657,131,64,21,109,315,16
63,Colorado,Asian,5463,920,1041,660,1261,1546,34
64,Colorado,Black or African American,1141,164,217,259,310,164,27
65,Colorado,Equally minority/nonminority,1877,256,247,280,554,506,33
66,Colorado,Minority,12372,1864,2198,1712,3098,3385,115
67,Colorado,Native Hawaiian and Other Pacific Islander,143,31,42,1,6,64,0
68,Colorado,Nonminority,99442,8320,13711,9411,23129,41698,3173
69,Colorado,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",8740,380,522,571,1103,3132,3033
70,Colorado,Some other race,1258,186,215,159,366,330,1
71,Colorado,White,105215,9150,14686,10252,24565,43321,3241
