,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
72,Connecticut,All firms,67920,4884,7364,4999,12169,33760,4743
73,Connecticut,"All firms classifiable by gender, ethnicity, race, and veteran status",61988,4743,6965,4831,11651,31287,2510
74,Connecticut,American Indian and Alaska Native,139,17,0,0,66,56,0
75,Connecticut,Asian,4522,937,1038,563,849,1126,10
76,Connecticut,Black or African American,813,102,124,24,240,312,11
77,Connecticut,Equally minority/nonminority,709,42,104,74,212,235,41
78,Connecticut,Minority,7568,1277,1452,1012,1765,2038,25
79,Connecticut,Native Hawaiian and Other Pacific Islander,77,0,0,43,31,3,0
80,Connecticut,Nonminority,53711,3424,5409,3746,9674,29013,2444
81,Connecticut,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",5932,141,400,168,518,2473,2233
82,Connecticut,Some other race,553,112,94,109,126,112,0
83,Connecticut,White,55887,3666,5690,4014,10372,29663,2482
