,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
84,Delaware,All firms,17977,1599,2212,1184,3346,7454,2182
85,Delaware,"All firms classifiable by gender, ethnicity, race, and veteran status",15482,1440,2159,1065,3127,6896,795
86,Delaware,American Indian and Alaska Native,74,1,16,1,36,19,0
87,Delaware,Asian,1753,206,359,264,301,621,2
88,Delaware,Black or African American,597,55,153,56,161,172,0
89,Delaware,Equally minority/nonminority,121,16,18,17,30,40,1
90,Delaware,Minority,2769,331,609,349,528,949,3
91,Delaware,Native Hawaiian and Other Pacific Islander,7,7,0,0,0,0,0
92,Delaware,Nonminority,12592,1093,1532,699,2570,5907,791
93,Delaware,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2494,158,53,119,218,559,1387
94,Delaware,Some other race,166,14,25,25,48,54,0
95,Delaware,White,13059,1190,1653,742,2664,6017,793
