,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
96,District of Columbia,All firms,14345,1208,1583,1332,2487,5638,2096
97,District of Columbia,"All firms classifiable by gender, ethnicity, race, and veteran status",11124,1208,1407,1147,2191,4464,707
98,District of Columbia,American Indian and Alaska Native,3,0,0,0,0,3,0
99,District of Columbia,Asian,1250,128,156,217,371,346,33
100,District of Columbia,Black or African American,1455,186,154,177,353,550,36
101,District of Columbia,Equally minority/nonminority,93,31,30,0,31,0,1
102,District of Columbia,Minority,3130,402,342,425,789,1070,101
103,District of Columbia,Native Hawaiian and Other Pacific Islander,0,0,0,0,0,0,0
104,District of Columbia,Nonminority,7901,775,1035,722,1370,3394,605
105,District of Columbia,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",3220,0,176,185,297,1174,1389
106,District of Columbia,Some other race,130,0,33,0,34,63,0
107,District of Columbia,White,8384,894,1096,754,1432,3570,637
