,GEO.display-label,RACE_GROUP.display-label,All firms,PCT_Firms with less than 2 years in business,PCT_Firms with 2 to 3 years in business,PCT_Firms with 4 to 5 years in business,PCT_Firms with 6 to 10 years in business,PCT_Firms with 11 to 15 years in business,PCT_Firms with 16 or more years in business
96,District of Columbia,All firms,14345,100.0,100.0,100.0,100.0,100.0,100.0
97,District of Columbia,"All firms classifiable by gender, ethnicity, race, and veteran status",11124,100.0,88.8818698673,86.1111111111,88.0981101729,79.1770131252,33.7309160305
98,District of Columbia,American Indian and Alaska Native,3,0.0,0.0,0.0,0.0,0.0532103582831,0.0
99,District of Columbia,Asian,1250,10.5960264901,9.85470625395,16.2912912913,14.9175713711,6.13692798865,1.57442748092
100,District of Columbia,Black or African American,1455,15.3973509934,9.72836386608,13.2882882883,14.1938078006,9.7552323519,1.71755725191
101,District of Columbia,Equally minority/nonminority,93,2.56622516556,1.89513581807,0.0,1.24648170487,0.0,0.0477099236641
102,District of Columbia,Minority,3130,33.2781456954,21.604548326,31.9069069069,31.7249698432,18.978361121,4.81870229008
103,District of Columbia,Native Hawaiian and Other Pacific Islander,0,0.0,0.0,0.0,0.0,0.0,0.0
104,District of Columbia,Nonminority,7901,64.1556291391,65.3821857233,54.2042042042,55.0864495376,60.1986520043,28.8645038168
105,District of Columbia,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",3220,0.0,11.1181301327,13.8888888889,11.9420989144,20.8229868748,66.2690839695
106,District of Columbia,Some other race,130,0.0,2.08464939987,0.0,1.36710896663,1.11741752394,0.0
107,District of Columbia,White,8384,74.0066225166,69.2356285534,56.6066066066,57.5794129473,63.3203263569,30.391221374
