,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
108,Florida,All firms,394946,41958,61848,42693,89633,144220,14593
109,Florida,"All firms classifiable by gender, ethnicity, race, and veteran status",378549,40852,60829,41634,87317,137684,10234
110,Florida,American Indian and Alaska Native,1650,125,245,303,477,423,77
111,Florida,Asian,23309,2975,4319,3332,5643,6886,154
112,Florida,Black or African American,10121,1441,2330,1425,1959,2847,120
113,Florida,Equally minority/nonminority,7093,873,1203,897,1838,2189,93
114,Florida,Minority,95808,12323,18894,12869,22558,27931,1234
115,Florida,Native Hawaiian and Other Pacific Islander,218,62,1,35,12,104,4
116,Florida,Nonminority,275648,27656,40731,27869,62921,107563,8908
117,Florida,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",16397,1106,1019,1059,2317,6537,4359
118,Florida,Some other race,5765,769,1396,947,1201,1398,54
119,Florida,White,338135,35621,52661,35509,78188,126278,9878
