,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
120,Georgia,All firms,159271,13941,21752,15686,35044,63649,9199
121,Georgia,"All firms classifiable by gender, ethnicity, race, and veteran status",149340,13641,21231,15065,33940,60123,5340
122,Georgia,American Indian and Alaska Native,734,190,138,73,148,178,8
123,Georgia,Asian,18112,2142,3432,3185,4560,4634,159
124,Georgia,Black or African American,8425,1131,1756,1042,2179,2221,96
125,Georgia,Equally minority/nonminority,965,71,108,54,390,336,6
126,Georgia,Minority,32123,4058,6415,4921,8055,8347,328
127,Georgia,Native Hawaiian and Other Pacific Islander,119,0,31,2,49,34,4
128,Georgia,Nonminority,116252,9513,14708,10090,25496,51440,5006
129,Georgia,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",9931,300,521,621,1104,3526,3859
130,Georgia,Some other race,1504,186,356,115,413,429,3
131,Georgia,White,121302,10132,15634,10765,26822,52874,5075
