,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
132,Hawaii,All firms,23250,1650,2419,2024,4372,10829,1957
133,Hawaii,"All firms classifiable by gender, ethnicity, race, and veteran status",20860,1619,2374,1993,4199,9769,906
134,Hawaii,American Indian and Alaska Native,77,0,1,32,35,9,0
135,Hawaii,Asian,11105,969,1199,1211,2006,5452,268
136,Hawaii,Black or African American,105,1,0,0,39,63,2
137,Hawaii,Equally minority/nonminority,546,94,43,44,136,228,1
138,Hawaii,Minority,12520,981,1456,1265,2417,6014,386
139,Hawaii,Native Hawaiian and Other Pacific Islander,1032,97,258,49,192,386,50
140,Hawaii,Nonminority,7794,545,875,684,1645,3526,519
141,Hawaii,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2390,31,45,31,173,1060,1051
142,Hawaii,Some other race,161,5,0,32,72,2,50
143,Hawaii,White,9138,674,1114,836,1965,3971,578
