,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
144,Idaho,All firms,35100,2690,4469,3009,8466,14226,2240
145,Idaho,"All firms classifiable by gender, ethnicity, race, and veteran status",32614,2604,4420,2935,8160,13399,1096
146,Idaho,American Indian and Alaska Native,265,21,39,12,84,109,0
147,Idaho,Asian,617,30,86,153,196,150,2
148,Idaho,Black or African American,12,0,0,7,2,3,0
149,Idaho,Equally minority/nonminority,590,51,93,28,166,248,5
150,Idaho,Minority,1925,111,433,275,634,470,2
151,Idaho,Native Hawaiian and Other Pacific Islander,54,0,44,1,8,2,0
152,Idaho,Nonminority,30099,2442,3894,2631,7361,12681,1089
153,Idaho,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2486,86,49,74,306,828,1144
154,Idaho,Some other race,255,0,94,34,75,51,0
155,Idaho,White,31349,2550,4144,2731,7804,13029,1091
