,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
156,Illinois,All firms,241031,18907,28930,20698,48421,110956,13118
157,Illinois,"All firms classifiable by gender, ethnicity, race, and veteran status",225194,18540,28163,19984,46924,103529,8054
158,Illinois,American Indian and Alaska Native,772,83,59,102,222,307,0
159,Illinois,Asian,19924,2309,4049,2113,5362,5668,423
160,Illinois,Black or African American,3542,335,509,406,719,1474,98
161,Illinois,Equally minority/nonminority,2187,108,176,249,588,950,117
162,Illinois,Minority,35959,4123,6730,4251,8957,11233,665
163,Illinois,Native Hawaiian and Other Pacific Islander,68,1,31,3,32,1,0
164,Illinois,Nonminority,187048,14309,21257,15484,37379,91346,7272
165,Illinois,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",15837,367,767,714,1497,7427,5064
166,Illinois,Some other race,3645,509,660,424,964,1047,42
167,Illinois,White,197114,15276,22990,16949,39669,94789,7440
