,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
168,Indiana,All firms,100200,7586,10835,8242,18862,47446,7229
169,Indiana,"All firms classifiable by gender, ethnicity, race, and veteran status",92052,7417,10442,7929,18114,43892,4258
170,Indiana,American Indian and Alaska Native,285,48,69,19,65,79,5
171,Indiana,Asian,3882,600,769,474,994,949,95
172,Indiana,Black or African American,1491,183,319,180,349,447,13
173,Indiana,Equally minority/nonminority,466,67,62,19,98,216,4
174,Indiana,Minority,7697,1043,1618,938,1859,2029,209
175,Indiana,Native Hawaiian and Other Pacific Islander,11,1,5,0,1,3,1
176,Indiana,Nonminority,83890,6308,8762,6972,16156,41647,4045
177,Indiana,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",8148,169,393,313,748,3553,2971
178,Indiana,Some other race,671,121,151,82,156,142,18
179,Indiana,White,86001,6592,9228,7183,16592,42277,4130
