,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
180,Iowa,All firms,60205,3540,6183,4868,11601,29515,4497
181,Iowa,"All firms classifiable by gender, ethnicity, race, and veteran status",54789,3463,6030,4714,11108,26989,2485
182,Iowa,American Indian and Alaska Native,26,3,0,0,0,23,0
183,Iowa,Asian,1490,117,408,175,236,540,14
184,Iowa,Black or African American,224,44,49,17,38,74,1
185,Iowa,Equally minority/nonminority,212,30,0,42,83,24,33
186,Iowa,Minority,2408,270,609,258,473,780,17
187,Iowa,Native Hawaiian and Other Pacific Islander,34,0,0,1,2,31,0
188,Iowa,Nonminority,52168,3163,5421,4413,10551,26185,2435
189,Iowa,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",5416,77,153,155,493,2526,2012
190,Iowa,Some other race,321,51,102,18,55,94,0
191,Iowa,White,52845,3310,5473,4528,10754,26311,2469
