,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
192,Kansas,All firms,55600,4108,5931,4471,10747,26291,4052
193,Kansas,"All firms classifiable by gender, ethnicity, race, and veteran status",50365,4002,5667,4278,10189,24092,2137
194,Kansas,American Indian and Alaska Native,366,56,59,3,75,162,11
195,Kansas,Asian,2339,400,464,337,366,746,26
196,Kansas,Black or African American,465,46,35,54,88,231,11
197,Kansas,Equally minority/nonminority,577,47,197,1,82,249,1
198,Kansas,Minority,4627,697,785,565,962,1568,49
199,Kansas,Native Hawaiian and Other Pacific Islander,16,0,0,0,13,3,0
200,Kansas,Nonminority,45160,3259,4685,3712,9144,22275,2086
201,Kansas,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",5235,106,264,193,558,2198,1916
202,Kansas,Some other race,361,33,75,36,104,113,0
203,Kansas,White,46885,3452,5011,3879,9565,22878,2100
