,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
204,Kentucky,All firms,63771,5411,7329,5085,11682,29454,4809
205,Kentucky,"All firms classifiable by gender, ethnicity, race, and veteran status",58541,5259,7185,4952,11181,27508,2456
206,Kentucky,American Indian and Alaska Native,136,0,25,3,11,98,0
207,Kentucky,Asian,2112,261,386,330,581,542,12
208,Kentucky,Black or African American,646,97,66,72,97,303,11
209,Kentucky,Equally minority/nonminority,290,0,17,22,21,212,18
210,Kentucky,Minority,3867,577,622,562,882,1178,46
211,Kentucky,Native Hawaiian and Other Pacific Islander,8,0,1,1,6,0,0
212,Kentucky,Nonminority,54383,4682,6546,4367,10279,26118,2392
213,Kentucky,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",5230,152,144,134,501,1946,2353
214,Kentucky,Some other race,495,112,79,116,67,110,12
215,Kentucky,White,55092,4788,6654,4411,10417,26419,2404
