,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
216,Louisiana,All firms,76494,5893,8664,6861,14902,34752,5422
217,Louisiana,"All firms classifiable by gender, ethnicity, race, and veteran status",70992,5757,8466,6620,14332,32525,3291
218,Louisiana,American Indian and Alaska Native,390,25,17,55,111,182,0
219,Louisiana,Asian,3964,497,560,553,1011,1295,48
220,Louisiana,Black or African American,3055,347,485,324,690,1002,207
221,Louisiana,Equally minority/nonminority,851,118,206,130,64,323,11
222,Louisiana,Minority,9068,1066,1315,1045,2271,3072,300
223,Louisiana,Native Hawaiian and Other Pacific Islander,29,0,0,0,28,1,0
224,Louisiana,Nonminority,61072,4573,6946,5445,11997,29131,2980
225,Louisiana,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",5502,136,197,241,570,2227,2131
226,Louisiana,Some other race,382,85,36,55,122,82,2
227,Louisiana,White,63109,4739,7161,5665,12414,30095,3034
