,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
228,Maine,All firms,31343,2294,3248,2470,6255,15068,2008
229,Maine,"All firms classifiable by gender, ethnicity, race, and veteran status",28760,2292,3195,2422,6056,13900,894
230,Maine,American Indian and Alaska Native,54,4,4,6,20,20,0
231,Maine,Asian,567,126,59,66,126,159,31
232,Maine,Black or African American,146,31,3,0,74,38,0
233,Maine,Equally minority/nonminority,174,17,45,20,17,72,4
234,Maine,Minority,898,166,108,76,227,290,31
235,Maine,Native Hawaiian and Other Pacific Islander,11,0,11,0,0,0,0
236,Maine,Nonminority,27688,2109,3043,2326,5813,13538,859
237,Maine,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2583,2,53,48,199,1168,1114
238,Maine,Some other race,44,1,3,4,3,34,0
239,Maine,White,28002,2133,3121,2335,5884,13668,860
