,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
240,Maryland,All firms,100593,7068,12335,8554,19417,46795,6424
241,Maryland,"All firms classifiable by gender, ethnicity, race, and veteran status",93285,6913,12043,8287,18764,43830,3449
242,Maryland,American Indian and Alaska Native,433,27,31,16,222,136,1
243,Maryland,Asian,13195,1455,2362,1463,3572,4103,239
244,Maryland,Black or African American,6080,721,1222,593,1237,2107,201
245,Maryland,Equally minority/nonminority,864,48,113,124,130,420,28
246,Maryland,Minority,22632,2575,4277,2475,5617,7125,562
247,Maryland,Native Hawaiian and Other Pacific Islander,3,0,0,0,1,2,0
248,Maryland,Nonminority,69789,4289,7653,5687,13016,36284,2859
249,Maryland,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",7308,155,291,268,654,2965,2975
250,Maryland,Some other race,1124,217,241,92,209,361,3
251,Maryland,White,72681,4534,8153,6115,13616,37233,3031
