,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
252,Massachusetts,All firms,130710,9662,15032,10457,24505,64134,6921
253,Massachusetts,"All firms classifiable by gender, ethnicity, race, and veteran status",120143,9381,14539,9994,23603,58948,3677
254,Massachusetts,American Indian and Alaska Native,285,5,86,2,66,127,0
255,Massachusetts,Asian,7511,1005,1540,856,1897,2118,96
256,Massachusetts,Black or African American,1472,209,371,244,309,333,7
257,Massachusetts,Equally minority/nonminority,1127,243,201,79,250,328,25
258,Massachusetts,Minority,12675,1746,2697,1654,3004,3435,140
259,Massachusetts,Native Hawaiian and Other Pacific Islander,8,0,0,0,6,2,0
260,Massachusetts,Nonminority,106341,7392,11641,8261,20349,55185,3512
261,Massachusetts,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",10567,281,493,463,901,5186,3243
262,Massachusetts,Some other race,1322,150,275,181,402,282,31
263,Massachusetts,White,109408,7918,12259,8767,20873,56052,3538
