,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
264,Michigan,All firms,161794,11938,17970,12748,30632,78791,9716
265,Michigan,"All firms classifiable by gender, ethnicity, race, and veteran status",151342,11730,17554,12222,29538,74205,6093
266,Michigan,American Indian and Alaska Native,690,62,169,132,146,175,7
267,Michigan,Asian,8464,770,1692,1181,1996,2546,279
268,Michigan,Black or African American,2502,238,258,468,555,923,60
269,Michigan,Equally minority/nonminority,1281,98,129,187,298,547,22
270,Michigan,Minority,13282,1279,2333,1933,3102,4273,362
271,Michigan,Native Hawaiian and Other Pacific Islander,50,0,0,0,0,50,0
272,Michigan,Nonminority,136779,10353,15091,10102,26138,69385,5710
273,Michigan,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",10452,208,416,526,1094,4586,3623
274,Michigan,Some other race,642,83,111,55,178,214,1
275,Michigan,White,139243,10652,15394,10531,26736,70202,5729
