,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
276,Minnesota,All firms,111389,7533,11956,9765,21260,54299,6576
277,Minnesota,"All firms classifiable by gender, ethnicity, race, and veteran status",103076,7444,11669,9494,20514,50261,3694
278,Minnesota,American Indian and Alaska Native,241,28,10,20,50,132,1
279,Minnesota,Asian,3339,600,516,576,550,1031,66
280,Minnesota,Black or African American,1303,197,256,146,382,309,13
281,Minnesota,Equally minority/nonminority,713,93,124,78,107,292,20
282,Minnesota,Minority,5925,950,915,924,1283,1770,83
283,Minnesota,Native Hawaiian and Other Pacific Islander,35,0,0,17,17,1,0
284,Minnesota,Nonminority,96438,6400,10629,8493,19124,48199,3592
285,Minnesota,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",8313,89,288,271,746,4038,2881
286,Minnesota,Some other race,501,69,70,115,168,77,3
287,Minnesota,White,97690,6521,10811,8664,19383,48712,3598
