,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
288,Mississippi,All firms,40444,2914,4592,3379,7679,18563,3316
289,Mississippi,"All firms classifiable by gender, ethnicity, race, and veteran status",36714,2858,4527,3236,7287,17006,1800
290,Mississippi,American Indian and Alaska Native,131,15,31,15,4,67,0
291,Mississippi,Asian,1829,231,255,283,366,689,5
292,Mississippi,Black or African American,1995,231,356,194,614,518,83
293,Mississippi,Equally minority/nonminority,217,50,23,33,62,46,2
294,Mississippi,Minority,4718,547,843,640,1096,1481,110
295,Mississippi,Native Hawaiian and Other Pacific Islander,18,0,0,0,0,1,17
296,Mississippi,Nonminority,31780,2260,3660,2563,6129,15478,1689
297,Mississippi,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",3730,56,66,143,392,1557,1516
298,Mississippi,Some other race,440,54,162,57,68,98,0
299,Mississippi,White,32392,2331,3713,2723,6274,15655,1695
