,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
300,Missouri,All firms,108075,10956,14346,9139,20127,46751,6756
301,Missouri,"All firms classifiable by gender, ethnicity, race, and veteran status",100397,10720,13912,8872,19420,43422,4050
302,Missouri,American Indian and Alaska Native,567,0,143,15,89,310,11
303,Missouri,Asian,3784,501,772,441,900,1050,120
304,Missouri,Black or African American,4251,1291,1477,502,505,438,37
305,Missouri,Equally minority/nonminority,787,114,131,92,148,300,2
306,Missouri,Minority,9954,1950,2607,1075,1749,2356,216
307,Missouri,Native Hawaiian and Other Pacific Islander,51,18,0,0,1,32,0
308,Missouri,Nonminority,89657,8657,11174,7705,17523,40765,3832
309,Missouri,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",7678,236,433,267,707,3329,2706
310,Missouri,Some other race,556,104,128,28,55,205,37
311,Missouri,White,91590,8842,11570,7902,17856,41563,3856
