,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
312,Montana,All firms,30458,2392,3494,2552,6848,13431,1740
313,Montana,"All firms classifiable by gender, ethnicity, race, and veteran status",27847,2320,3314,2494,6600,12272,846
314,Montana,American Indian and Alaska Native,314,76,27,20,56,135,0
315,Montana,Asian,248,36,31,26,49,100,6
316,Montana,Black or African American,28,17,10,0,1,0,0
317,Montana,Equally minority/nonminority,353,24,77,5,92,154,1
318,Montana,Minority,943,158,149,67,193,336,39
319,Montana,Native Hawaiian and Other Pacific Islander,18,0,0,1,17,0,0
320,Montana,Nonminority,26551,2138,3088,2422,6315,11782,807
321,Montana,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2611,72,180,59,248,1158,894
322,Montana,Some other race,103,8,38,7,36,13,1
323,Montana,White,27301,2237,3198,2456,6470,12102,838
