,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
324,Nebraska,All firms,41574,3064,4257,3088,8407,19584,3175
325,Nebraska,"All firms classifiable by gender, ethnicity, race, and veteran status",38089,3012,4075,3034,8079,18186,1703
326,Nebraska,American Indian and Alaska Native,17,0,1,2,10,4,0
327,Nebraska,Asian,767,105,203,94,138,213,15
328,Nebraska,Black or African American,267,24,31,56,20,135,0
329,Nebraska,Equally minority/nonminority,332,41,34,37,106,107,6
330,Nebraska,Minority,1576,205,320,211,290,527,24
331,Nebraska,Native Hawaiian and Other Pacific Islander,18,0,17,0,1,0,0
332,Nebraska,Nonminority,36181,2766,3721,2787,7683,17552,1673
333,Nebraska,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",3485,51,182,53,329,1398,1471
334,Nebraska,Some other race,248,36,33,34,88,46,9
335,Nebraska,White,36769,2847,3818,2832,7833,17765,1674
