,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
336,Nevada,All firms,45804,5271,7233,5173,10648,14064,3415
337,Nevada,"All firms classifiable by gender, ethnicity, race, and veteran status",41704,5033,6958,4937,10210,12898,1670
338,Nevada,American Indian and Alaska Native,280,0,52,18,41,167,1
339,Nevada,Asian,4309,587,737,638,1350,894,102
340,Nevada,Black or African American,668,88,92,70,188,164,66
341,Nevada,Equally minority/nonminority,1254,113,215,233,283,376,34
342,Nevada,Minority,8396,1227,1677,1145,2361,1797,190
343,Nevada,Native Hawaiian and Other Pacific Islander,194,48,2,4,55,85,0
344,Nevada,Nonminority,32054,3693,5066,3559,7566,10725,1445
345,Nevada,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",4100,238,275,237,438,1167,1745
346,Nevada,Some other race,1021,139,141,186,338,202,13
347,Nevada,White,35293,4115,5958,3959,8280,11513,1469
