,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
348,New Hampshire,All firms,28920,1869,3032,2122,5725,14053,2118
349,New Hampshire,"All firms classifiable by gender, ethnicity, race, and veteran status",26102,1816,2982,2057,5487,12951,810
350,New Hampshire,American Indian and Alaska Native,59,17,1,0,19,22,0
351,New Hampshire,Asian,1021,105,192,165,279,277,4
352,New Hampshire,Black or African American,66,1,4,1,6,37,17
353,New Hampshire,Equally minority/nonminority,162,0,31,59,31,28,13
354,New Hampshire,Minority,1418,186,204,194,335,477,22
355,New Hampshire,Native Hawaiian and Other Pacific Islander,18,0,0,0,1,17,0
356,New Hampshire,Nonminority,24522,1630,2746,1804,5121,12445,775
357,New Hampshire,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2818,53,50,66,238,1102,1308
358,New Hampshire,Some other race,77,0,0,5,24,48,0
359,New Hampshire,White,24942,1710,2757,1912,5152,12633,777
