,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
360,New Jersey,All firms,183712,15370,23611,17071,35144,84207,8310
361,New Jersey,"All firms classifiable by gender, ethnicity, race, and veteran status",173142,15161,23173,16618,33746,79604,4838
362,New Jersey,American Indian and Alaska Native,244,14,33,63,50,85,0
363,New Jersey,Asian,27633,3008,6106,3320,6900,7868,431
364,New Jersey,Black or African American,3223,501,701,211,489,1257,65
365,New Jersey,Equally minority/nonminority,1762,194,183,168,477,665,76
366,New Jersey,Minority,41180,5307,8659,5084,9390,12154,586
367,New Jersey,Native Hawaiian and Other Pacific Islander,41,0,0,0,34,7,0
368,New Jersey,Nonminority,130201,9660,14332,11367,23879,66786,4177
369,New Jersey,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",10571,208,438,453,1398,4603,3472
370,New Jersey,Some other race,2882,544,590,381,673,689,3
371,New Jersey,White,139322,11184,15889,12552,25742,69669,4286
