,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
372,New Mexico,All firms,32755,2312,4122,2740,6449,14561,2572
373,New Mexico,"All firms classifiable by gender, ethnicity, race, and veteran status",29480,2276,3979,2582,6149,13349,1145
374,New Mexico,American Indian and Alaska Native,533,77,73,69,126,186,2
375,New Mexico,Asian,1263,125,276,67,470,289,37
376,New Mexico,Black or African American,181,7,29,13,53,46,33
377,New Mexico,Equally minority/nonminority,1305,124,79,158,277,650,16
378,New Mexico,Minority,7733,847,1569,634,1792,2726,165
379,New Mexico,Native Hawaiian and Other Pacific Islander,5,1,0,0,0,4,0
380,New Mexico,Nonminority,20442,1305,2330,1791,4081,9973,963
381,New Mexico,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",3276,36,143,158,299,1212,1427
382,New Mexico,Some other race,1502,156,470,84,142,639,11
383,New Mexico,White,25828,1976,3101,2322,5363,11995,1070
