,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
384,New York,All firms,432907,41549,62896,45917,84389,181977,16179
385,New York,"All firms classifiable by gender, ethnicity, race, and veteran status",407744,40553,61635,44239,81491,169165,10661
386,New York,American Indian and Alaska Native,498,68,38,122,131,134,5
387,New York,Asian,62667,9433,14982,9247,14052,14377,576
388,New York,Black or African American,8289,1273,1458,1282,1892,2085,299
389,New York,Equally minority/nonminority,3417,478,439,349,804,1325,22
390,New York,Minority,92799,12963,20829,14211,21155,22481,1159
391,New York,Native Hawaiian and Other Pacific Islander,203,31,58,3,0,111,0
392,New York,Nonminority,311528,27112,40366,29679,59532,145359,9480
393,New York,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",25163,996,1261,1678,2898,12811,5518
394,New York,Some other race,7257,820,1711,1319,1700,1612,93
395,New York,White,329094,29091,43267,32224,63692,151153,9667
