,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
396,North Carolina,All firms,154116,13174,18947,14964,32646,64949,9437
397,North Carolina,"All firms classifiable by gender, ethnicity, race, and veteran status",144106,12874,18335,14593,31445,60855,6004
398,North Carolina,American Indian and Alaska Native,1173,130,205,67,237,500,34
399,North Carolina,Asian,8663,1108,1793,1319,2322,1988,132
400,North Carolina,Black or African American,5540,888,1045,896,1121,1557,33
401,North Carolina,Equally minority/nonminority,1161,140,120,178,474,208,43
402,North Carolina,Minority,19362,2934,3776,2784,4523,5129,216
403,North Carolina,Native Hawaiian and Other Pacific Islander,98,0,22,1,26,49,0
404,North Carolina,Nonminority,123583,9800,14440,11630,26449,55518,5746
405,North Carolina,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",10010,300,612,371,1201,4094,3433
406,North Carolina,Some other race,1581,335,331,176,281,443,15
407,North Carolina,White,127425,10455,15140,12193,27351,56477,5810
