,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
408,North Dakota,All firms,20702,1710,3160,1552,3656,8973,1651
409,North Dakota,"All firms classifiable by gender, ethnicity, race, and veteran status",18663,1641,3089,1478,3536,8072,846
410,North Dakota,American Indian and Alaska Native,196,27,44,4,73,48,0
411,North Dakota,Asian,188,58,39,15,22,49,6
412,North Dakota,Black or African American,15,2,6,0,2,4,1
413,North Dakota,Equally minority/nonminority,27,0,6,17,3,0,0
414,North Dakota,Minority,608,123,128,23,208,118,8
415,North Dakota,Native Hawaiian and Other Pacific Islander,0,0,0,0,0,0,0
416,North Dakota,Nonminority,18028,1518,2955,1438,3324,7954,838
417,North Dakota,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2039,69,71,74,120,901,805
418,North Dakota,Some other race,115,17,22,1,58,17,0
419,North Dakota,White,18257,1555,3017,1446,3418,7981,840
