,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
420,Ohio,All firms,172674,12066,18337,12721,31366,87009,11174
421,Ohio,"All firms classifiable by gender, ethnicity, race, and veteran status",159493,11746,17744,12168,30151,80746,6938
422,Ohio,American Indian and Alaska Native,256,25,20,49,70,86,4
423,Ohio,Asian,7426,1053,1270,983,1894,2138,88
424,Ohio,Black or African American,3044,476,558,289,642,1045,34
425,Ohio,Equally minority/nonminority,846,67,107,164,232,242,34
426,Ohio,Minority,12623,1839,2195,1658,3063,3727,141
427,Ohio,Native Hawaiian and Other Pacific Islander,43,17,1,0,0,25,0
428,Ohio,Nonminority,146025,9840,15442,10347,26856,76778,6763
429,Ohio,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",13181,320,593,553,1215,6263,4236
430,Ohio,Some other race,630,85,104,120,170,148,3
431,Ohio,White,148253,10231,15816,10717,27477,77203,6809
