,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
432,Oklahoma,All firms,68159,5440,8719,6013,14210,29280,4496
433,Oklahoma,"All firms classifiable by gender, ethnicity, race, and veteran status",63229,5224,8459,5840,13772,27459,2475
434,Oklahoma,American Indian and Alaska Native,3613,337,478,322,802,1569,106
435,Oklahoma,Asian,2935,418,461,473,688,890,6
436,Oklahoma,Black or African American,605,64,89,66,97,283,6
437,Oklahoma,Equally minority/nonminority,1899,189,334,270,460,590,57
438,Oklahoma,Minority,8809,988,1428,1058,1944,3190,200
439,Oklahoma,Native Hawaiian and Other Pacific Islander,60,0,38,1,17,4,0
440,Oklahoma,Nonminority,52521,4048,6696,4512,11368,23678,2218
441,Oklahoma,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",4930,216,260,173,438,1821,2021
442,Oklahoma,Some other race,528,45,163,54,143,119,3
443,Oklahoma,White,56024,4361,7265,4914,12177,24946,2361
