,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
444,Oregon,All firms,84159,7165,10407,7956,18440,35399,4794
445,Oregon,"All firms classifiable by gender, ethnicity, race, and veteran status",78032,7011,10140,7610,17741,32831,2699
446,Oregon,American Indian and Alaska Native,765,35,101,168,249,200,12
447,Oregon,Asian,4473,476,706,572,1325,1353,41
448,Oregon,Black or African American,393,49,23,57,172,91,1
449,Oregon,Equally minority/nonminority,1741,326,260,242,359,553,1
450,Oregon,Minority,8542,1106,1456,1205,2358,2339,78
451,Oregon,Native Hawaiian and Other Pacific Islander,92,2,19,34,7,28,2
452,Oregon,Nonminority,67749,5578,8424,6163,15024,29939,2620
453,Oregon,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",6127,154,267,346,699,2567,2094
454,Oregon,Some other race,958,159,189,131,283,197,0
455,Oregon,White,71405,6223,9042,6816,15719,30951,2654
