,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
456,Pennsylvania,All firms,212828,15102,23240,17553,40881,104529,11524
457,Pennsylvania,"All firms classifiable by gender, ethnicity, race, and veteran status",197466,14749,22639,16979,39230,96654,7213
458,Pennsylvania,American Indian and Alaska Native,422,21,23,85,78,215,0
459,Pennsylvania,Asian,12548,1291,2535,2094,3250,3223,154
460,Pennsylvania,Black or African American,2632,541,385,393,522,750,41
461,Pennsylvania,Equally minority/nonminority,976,54,36,64,334,465,24
462,Pennsylvania,Minority,18421,2332,3403,2832,4733,4895,225
463,Pennsylvania,Native Hawaiian and Other Pacific Islander,37,0,1,2,3,31,0
464,Pennsylvania,Nonminority,178069,12363,19200,14084,34163,91294,6965
465,Pennsylvania,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",15363,353,601,574,1650,7875,4311
466,Pennsylvania,Some other race,953,136,185,127,300,202,2
467,Pennsylvania,White,180823,12757,19509,14305,34986,92250,7015
