,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
468,Rhode Island,All firms,22757,1449,2310,1689,4079,11431,1800
469,Rhode Island,"All firms classifiable by gender, ethnicity, race, and veteran status",20647,1392,2232,1657,3952,10595,819
470,Rhode Island,American Indian and Alaska Native,23,1,0,0,18,4,0
471,Rhode Island,Asian,698,47,158,77,171,244,0
472,Rhode Island,Black or African American,178,29,35,8,50,57,0
473,Rhode Island,Equally minority/nonminority,166,46,0,46,25,48,1
474,Rhode Island,Minority,1683,225,288,197,404,561,7
475,Rhode Island,Native Hawaiian and Other Pacific Islander,1,0,1,0,0,0,0
476,Rhode Island,Nonminority,18799,1121,1945,1413,3523,9986,811
477,Rhode Island,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2110,57,77,32,126,836,981
478,Rhode Island,Some other race,319,84,52,53,56,69,7
479,Rhode Island,White,19448,1216,2005,1523,3677,10215,812
