,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
480,South Carolina,All firms,72059,5716,9139,6437,14970,30495,5303
481,South Carolina,"All firms classifiable by gender, ethnicity, race, and veteran status",66852,5599,8783,6213,14447,28832,2977
482,South Carolina,American Indian and Alaska Native,377,0,37,37,142,144,18
483,South Carolina,Asian,3871,666,886,450,736,1058,75
484,South Carolina,Black or African American,2126,319,293,237,603,634,39
485,South Carolina,Equally minority/nonminority,388,48,167,0,119,53,0
486,South Carolina,Minority,8379,1163,1471,1201,1906,2432,206
487,South Carolina,Native Hawaiian and Other Pacific Islander,2,0,0,0,1,1,0
488,South Carolina,Nonminority,58085,4388,7145,5011,12422,26347,2771
489,South Carolina,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",5207,116,356,224,523,1663,2326
490,South Carolina,Some other race,747,99,127,112,141,251,17
491,South Carolina,White,60025,4510,7481,5415,12938,26835,2845
