,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
492,South Dakota,All firms,21568,1297,2585,1673,4238,10034,1741
493,South Dakota,"All firms classifiable by gender, ethnicity, race, and veteran status",19530,1292,2538,1608,4097,9104,891
494,South Dakota,American Indian and Alaska Native,138,7,27,5,23,76,0
495,South Dakota,Asian,296,24,48,47,92,84,1
496,South Dakota,Black or African American,21,0,1,0,2,17,1
497,South Dakota,Equally minority/nonminority,138,0,2,40,29,66,0
498,South Dakota,Minority,571,34,89,94,163,189,2
499,South Dakota,Native Hawaiian and Other Pacific Islander,0,0,0,0,0,0,0
500,South Dakota,Nonminority,18821,1258,2447,1474,3904,8849,889
501,South Dakota,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2038,4,47,65,141,930,851
502,South Dakota,Some other race,70,1,6,31,31,1,0
503,South Dakota,White,18985,1260,2454,1524,3946,8910,890
