,GEO.display-label,RACE_GROUP.display-label,All firms,PCT_Firms with less than 2 years in business,PCT_Firms with 2 to 3 years in business,PCT_Firms with 4 to 5 years in business,PCT_Firms with 6 to 10 years in business,PCT_Firms with 11 to 15 years in business,PCT_Firms with 16 or more years in business
492,South Dakota,All firms,21568,100.0,100.0,100.0,100.0,100.0,100.0
493,South Dakota,"All firms classifiable by gender, ethnicity, race, and veteran status",19530,99.6144949884,98.1818181818,96.1147638972,96.6729589429,90.7315128563,51.1774842045
494,South Dakota,American Indian and Alaska Native,138,0.539707016191,1.04448742747,0.298864315601,0.542708824917,0.75742475583,0.0
495,South Dakota,Asian,296,1.85042405551,1.85686653772,2.80932456665,2.17083529967,0.837153677497,0.0574382538771
496,South Dakota,Black or African American,21,0.0,0.0386847195358,0.0,0.0471920717319,0.169423958541,0.0574382538771
497,South Dakota,Equally minority/nonminority,138,0.0,0.0773694390716,2.39091452481,0.684285040113,0.657763603747,0.0
498,South Dakota,Minority,571,2.62143407864,3.44294003868,5.61864913329,3.84615384615,1.88359577437,0.114876507754
499,South Dakota,Native Hawaiian and Other Pacific Islander,0,0.0,0.0,0.0,0.0,0.0,0.0
500,South Dakota,Nonminority,18821,96.9930609098,94.6615087041,88.1052002391,92.1189240208,88.1901534782,51.0626076967
501,South Dakota,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2038,0.308404009252,1.81818181818,3.88523610281,3.3270410571,9.26848714371,48.8799540494
502,South Dakota,Some other race,70,0.077101002313,0.232108317215,1.85295875672,0.731477111845,0.00996611520829,0.0
503,South Dakota,White,18985,97.1472629144,94.9323017408,91.0938433951,93.1099575271,88.7980865059,51.1200459506
