,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
516,Texas,All firms,387504,39885,57262,39680,81245,152816,16615
517,Texas,"All firms classifiable by gender, ethnicity, race, and veteran status",364527,38392,55420,38383,78364,142959,11010
518,Texas,American Indian and Alaska Native,2196,309,217,404,497,721,49
519,Texas,Asian,40455,5898,7449,6015,10688,9916,489
520,Texas,Black or African American,8514,889,1936,1518,2211,1834,126
521,Texas,Equally minority/nonminority,8393,1460,1573,802,1970,2412,176
522,Texas,Minority,102172,13335,18970,13824,24417,30029,1597
523,Texas,Native Hawaiian and Other Pacific Islander,218,44,66,68,11,28,0
524,Texas,Nonminority,253962,23597,34877,23758,51976,110517,9237
525,Texas,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",22977,1493,1842,1297,2881,9857,5605
526,Texas,Some other race,9921,1626,2020,1080,2004,3093,97
527,Texas,White,302446,29780,43489,29474,62561,126908,10234
