,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
528,Utah,All firms,58085,5271,8545,6484,13724,20413,3648
529,Utah,"All firms classifiable by gender, ethnicity, race, and veteran status",54524,5127,8368,6287,13298,19413,2031
530,Utah,American Indian and Alaska Native,188,13,27,10,96,42,0
531,Utah,Asian,1717,159,412,286,544,296,21
532,Utah,Black or African American,108,5,13,52,36,1,1
533,Utah,Equally minority/nonminority,801,113,121,179,237,119,32
534,Utah,Minority,3864,418,781,637,1288,715,25
535,Utah,Native Hawaiian and Other Pacific Islander,111,10,24,24,32,21,0
536,Utah,Nonminority,49858,4596,7465,5471,11773,18580,1974
537,Utah,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",3562,144,178,196,426,1000,1617
538,Utah,Some other race,538,60,60,83,250,85,1
539,Utah,White,51784,4876,7800,5780,12411,18907,2010
