,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
540,Vermont,All firms,17259,1083,1512,1279,3164,8684,1538
541,Vermont,"All firms classifiable by gender, ethnicity, race, and veteran status",15013,986,1434,1225,2951,7692,726
542,Vermont,American Indian and Alaska Native,113,19,0,17,32,45,0
543,Vermont,Asian,329,57,86,21,73,91,1
544,Vermont,Black or African American,38,0,3,0,1,35,0
545,Vermont,Equally minority/nonminority,141,4,32,8,44,52,0
546,Vermont,Minority,548,77,98,55,114,204,1
547,Vermont,Native Hawaiian and Other Pacific Islander,1,0,0,0,0,1,0
548,Vermont,Nonminority,14324,904,1304,1161,2793,7436,725
549,Vermont,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2246,97,78,54,214,992,812
550,Vermont,Some other race,12,0,5,0,7,0,0
551,Vermont,White,14599,929,1313,1199,2860,7573,725
