,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
552,Virginia,All firms,138881,10811,17546,12203,30262,59917,8143
553,Virginia,"All firms classifiable by gender, ethnicity, race, and veteran status",129426,10578,17304,11759,29227,55588,4969
554,Virginia,American Indian and Alaska Native,717,49,120,35,97,416,0
555,Virginia,Asian,16352,1774,3144,2464,4247,4487,236
556,Virginia,Black or African American,5346,663,794,728,1449,1494,217
557,Virginia,Equally minority/nonminority,1963,342,274,222,394,647,84
558,Virginia,Minority,27976,3331,5312,3853,7105,7844,532
559,Virginia,Native Hawaiian and Other Pacific Islander,105,8,9,1,46,38,3
560,Virginia,Nonminority,99487,6905,11719,7683,21728,47098,4353
561,Virginia,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",9455,232,241,444,1034,4329,3174
562,Virginia,Some other race,1383,167,368,127,429,256,36
563,Virginia,White,105778,7810,12826,8401,23090,49200,4450
