,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
564,Washington,All firms,137117,12263,18189,13369,30051,55955,7289
565,Washington,"All firms classifiable by gender, ethnicity, race, and veteran status",127622,11843,17657,12873,28949,52036,4264
566,Washington,American Indian and Alaska Native,763,78,170,37,120,338,20
567,Washington,Asian,14417,1749,2656,2415,3591,3881,124
568,Washington,Black or African American,1376,186,409,194,279,306,2
569,Washington,Equally minority/nonminority,2659,337,725,348,589,633,26
570,Washington,Minority,20856,2534,4072,3336,4949,5672,293
571,Washington,Native Hawaiian and Other Pacific Islander,193,4,45,21,41,46,37
572,Washington,Nonminority,104107,8972,12860,9189,23412,45730,3945
573,Washington,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",9495,421,532,497,1102,3920,3024
574,Washington,Some other race,1690,121,366,339,382,396,86
575,Washington,White,109109,9635,13969,9838,24388,47302,3976
