,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
576,West Virginia,All firms,25193,1527,2190,2037,4392,12609,2437
577,West Virginia,"All firms classifiable by gender, ethnicity, race, and veteran status",22385,1470,2119,1960,4133,11367,1336
578,West Virginia,American Indian and Alaska Native,11,0,0,1,1,8,0
579,West Virginia,Asian,693,61,106,47,144,283,53
580,West Virginia,Black or African American,127,0,20,17,60,28,2
581,West Virginia,Equally minority/nonminority,46,0,15,9,0,22,0
582,West Virginia,Minority,1189,135,148,89,321,440,57
583,West Virginia,Native Hawaiian and Other Pacific Islander,1,0,0,0,0,1,0
584,West Virginia,Nonminority,21150,1335,1956,1862,3812,10906,1279
585,West Virginia,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",2808,57,71,78,259,1242,1101
586,West Virginia,Some other race,183,41,15,15,47,63,0
587,West Virginia,White,21336,1368,1963,1881,3874,10970,1281
