,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
588,Wisconsin,All firms,103497,6985,10190,7939,19766,52072,6546
589,Wisconsin,"All firms classifiable by gender, ethnicity, race, and veteran status",95638,6805,9876,7615,19114,48358,3871
590,Wisconsin,American Indian and Alaska Native,428,8,79,74,158,109,0
591,Wisconsin,Asian,3000,417,591,375,820,773,24
592,Wisconsin,Black or African American,792,120,172,57,213,214,16
593,Wisconsin,Equally minority/nonminority,763,37,138,133,147,308,0
594,Wisconsin,Minority,5496,662,1093,647,1568,1463,64
595,Wisconsin,Native Hawaiian and Other Pacific Islander,21,0,0,0,4,17,0
596,Wisconsin,Nonminority,89378,6105,8645,6835,17399,46587,3807
597,Wisconsin,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",7859,180,314,324,652,3713,2675
598,Wisconsin,Some other race,318,38,80,36,103,59,2
599,Wisconsin,White,91077,6211,8980,7045,17916,47096,3829
