,GEO.display-label,RACE_GROUP.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
600,Wyoming,All firms,17167,1442,2115,1362,3679,7308,1260
601,Wyoming,"All firms classifiable by gender, ethnicity, race, and veteran status",15480,1425,2073,1293,3415,6679,596
602,Wyoming,American Indian and Alaska Native,111,20,4,4,26,57,0
603,Wyoming,Asian,378,97,75,29,121,53,3
604,Wyoming,Black or African American,22,0,4,5,5,8,0
605,Wyoming,Equally minority/nonminority,163,27,30,12,37,52,5
606,Wyoming,Minority,900,142,198,70,246,242,3
607,Wyoming,Native Hawaiian and Other Pacific Islander,0,0,0,0,0,0,0
608,Wyoming,Nonminority,14417,1256,1845,1211,3133,6385,588
609,Wyoming,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status",1687,17,42,69,264,630,665
610,Wyoming,Some other race,159,17,38,10,21,73,0
611,Wyoming,White,14892,1287,1966,1248,3283,6512,594
