state,0-5,6-10,11-15,16+,check_tot
Nevada,38.5926993276,23.2468780019,30.7047419439,7.45568072657,100.0
Florida,37.0934254303,22.695001342,36.5163845184,3.69493551017,99.9997468009
Texas,35.3098290599,20.9662351872,39.4359800157,4.28769767538,99.9997419382
Utah,34.9487819575,23.6274425411,35.1433244383,6.2804510631,100.0
New York,34.733095099,19.4935632826,42.0360493131,3.73729230528,100.0
Arizona,34.1437849392,22.4617724433,37.433204538,5.96123807958,100.0
California,33.8420787084,22.3029063901,40.5166850492,3.33847652125,100.000146669
Georgia,32.2588544054,22.0027500298,39.962705075,5.77569048979,100.0
Colorado,32.2399372712,22.7759082593,39.7943348144,5.18981965499,99.9999999999
Washington,31.9588380726,21.9163196394,40.8082148822,5.31589810162,99.9992706958
Missouri,31.8676844784,18.6231783484,43.2579227388,6.25121443442,100.0
North Dakota,31.0211573761,17.6601294561,43.3436382958,7.97507487199,100.0
North Carolina,30.5516623841,21.1827454645,42.1429312985,6.12330971476,100.000648862
New Jersey,30.5107995123,19.1299425187,45.8364178715,4.5233844278,100.00054433
Oregon,30.3330600411,21.9109067361,42.0620492164,5.69636046056,100.002376454
Tennessee,29.824342984,18.9770695158,43.4909568327,7.70876247821,100.001131811
Oklahoma,29.5955046289,20.8483105679,42.9583767367,6.59634090876,99.9985328422
South Carolina,29.5480092702,20.7746430009,42.3194881972,7.35924728348,100.001387752
Virginia,29.204858836,21.7898776651,43.1426905048,5.86329303504,100.000720041
Alaska,29.0230813991,21.6137583242,41.8891834228,7.48044223185,100.006465378
Idaho,28.9686609687,24.1196581197,40.5299145299,6.38176638177,100.0
District of Columbia,28.7417218543,17.3370512374,39.3028929941,14.6113628442,99.99302893
Wyoming,28.6538125473,21.430651832,42.5700471835,7.33966330751,99.9941748703
Illinois,28.4341018375,20.0891171675,46.0339126502,5.44245346034,99.9995851156
New Mexico,28.0079377195,19.6885971607,44.454281789,7.8522362998,100.003052969
Louisiana,27.9995816666,19.4812665046,45.4310141972,7.08813763171,100.0
Kentucky,27.9515767355,18.3186714964,46.1871383544,7.54104530272,99.9984318891
Maryland,27.7921922996,19.3025359617,46.519141491,6.38613024763,100.0
Delaware,27.7855036992,18.6126717472,41.4640930077,12.1377315459,100.0
Montana,27.7037231598,22.4834197912,44.0967890209,5.71278481844,99.9967167903
Arkansas,27.6957148079,20.7185705992,44.1204928078,7.46522178503,100.0
Alabama,27.3141555113,19.7214768622,45.2832451393,7.68112248722,100.0
Mississippi,26.9137572941,18.9867471071,45.8980318465,8.19899119771,99.9975274454
Massachusetts,26.8923571264,18.7476092112,49.0658710122,5.29492770255,100.000765052
Indiana,26.6097804391,18.8243512974,47.3512974052,7.21457085828,100.0
Michigan,26.3643892851,18.9327169116,48.6983448088,6.00516706429,100.00061807
Pennsylvania,26.2629917116,19.2084688105,49.1143082677,5.41470107317,100.000469863
Minnesota,26.262916446,19.0862652506,48.7471832946,5.90363500884,100.0
Hawaii,26.2064516129,18.8043010753,46.576344086,8.41720430108,100.004301075
Kansas,26.0971223022,19.3291366906,47.285971223,7.28776978417,100.0
South Dakota,25.7557492582,19.6494807122,46.5226261128,8.07214391691,100.0
Maine,25.5623265163,19.9566091312,48.0745301981,6.40653415436,100.0
Connecticut,25.3931095406,17.9166666667,49.7055359246,6.9832155477,99.9985276796
Nebraska,25.0372829172,20.2217732236,47.1063645548,7.63698465387,100.002405349
Ohio,24.9742288938,18.1648655849,50.3891726606,6.47115373478,99.9994208741
New Hampshire,24.2842323652,19.795988935,48.5926694329,7.32365145228,99.9965421854
Wisconsin,24.2654376455,19.0981381103,50.3125694465,6.3248210093,100.000966212
Iowa,24.2355286105,19.2691636907,49.024167428,7.46947927913,99.9983390084
Rhode Island,23.9398866283,17.924155205,50.2306982467,7.90965417234,100.004394252
West Virginia,22.8396776882,17.4334140436,50.0496169571,9.67332195451,99.9960306435
Vermont,22.4462599224,18.3324642216,50.3157772756,8.9112926589,100.005794078
