,GEO.display-label,All firms,"All firms classifiable by gender, ethnicity, race, and veteran status",Equally male-/female-owned,Female-owned,Male-owned,"Publicly held and other firms not classifiable by gender, ethnicity, race, and veteran status"
0,Maryland,100.0,92.7350809698,10.90234907,22.0552125893,59.7785134154,7.26491903015
0,Colorado,100.0,92.8605266597,14.1433612128,21.8578476215,56.8601346053,7.13865656038
0,Hawaii,100.0,89.7204301075,14.2193548387,21.6387096774,53.8623655914,10.2795698925
0,Florida,100.0,95.8482931844,15.0433223782,21.4953436672,59.3096271389,4.15170681562
0,Alaska,100.0,88.1618930626,16.8229132993,21.426262365,49.9127173983,11.8381069374
0,Nevada,100.0,91.0488166972,16.5596891101,21.2536023055,53.2355252816,8.95118330277
0,Missouri,100.0,92.8956743003,16.729123294,21.093684941,55.0728660652,7.10432569975
0,Georgia,100.0,93.7647154849,11.0258615818,20.9335032743,61.8053506288,6.23528451507
0,Oregon,100.0,92.7197328866,18.3830606352,20.910419563,53.4262526884,7.28026711344
0,Virginia,100.0,93.1920133064,11.9461985441,20.7904608982,60.4553538641,6.80798669364
0,Washington,100.0,93.0752568974,22.1795984451,20.0434665286,50.8514626195,6.92474310261
0,California,100.0,94.8687900406,15.3964165865,19.898123812,59.5742496421,5.1312099594
0,New York,100.0,94.1874351766,8.66537154631,19.6721235739,65.8499400564,5.81256482339
0,Arizona,100.0,93.0933492272,19.8372245972,19.6676668859,53.5884577442,6.90562315028
0,Texas,100.0,94.0705128205,15.2641004996,19.447025063,59.3593872579,5.92948717949
0,North Carolina,100.0,93.5048924187,13.5599159075,19.4197876924,60.5251888188,6.4951075813
0,New Mexico,100.0,90.0015264845,17.542359945,19.0749503893,53.3842161502,10.0015264845
0,New Jersey,100.0,94.2464291935,9.66567235673,18.4718472392,66.1089095976,5.75411513674
0,Illinois,100.0,93.4294758765,11.8246200696,18.4216967942,63.1831590127,6.57052412345
0,District of Columbia,100.0,77.5461833391,5.31892645521,18.3199721157,53.9072847682,22.4468455908
0,Maine,100.0,91.7589254379,15.6685703347,18.2145933701,57.8757617331,8.2410745621
0,South Carolina,100.0,92.7739768801,11.5114003802,18.2100778529,63.0524986469,7.22602311994
0,Montana,100.0,91.4275395627,22.3126928886,18.1364501937,50.9783964804,8.57246043732
0,Ohio,100.0,92.3665404172,10.3443483095,18.0866835771,63.9360876565,7.6334595828
0,West Virginia,100.0,88.854046759,12.7773587901,17.7390544993,58.3416028262,11.145953241
0,Michigan,100.0,93.5399334957,11.3150055008,17.6310617205,64.5932482045,6.46006650432
0,Kentucky,100.0,91.7987800097,14.6884947704,17.5879318185,59.5223534208,8.20121999028
0,Louisiana,100.0,92.8072790023,14.5423170445,17.5856929955,60.6805762543,7.19272099773
0,Wyoming,100.0,90.1730063494,20.9122152968,17.5569406419,51.7038504107,9.82699365061
0,Pennsylvania,100.0,92.7819647791,9.54150769636,17.4671565771,65.7733005056,7.21850508392
0,Rhode Island,100.0,90.7281276091,12.8356110208,17.4363931977,60.4561233906,9.27187239091
0,New Hampshire,100.0,90.2558782849,11.6459197787,17.3132780083,61.2966804979,9.74412171508
0,Massachusetts,100.0,91.9156912248,9.85693520006,17.1693060975,64.8894499273,8.08430877515
0,Tennessee,100.0,91.7377821038,12.3525816601,17.1242954479,62.2620368065,8.26221789619
0,Oklahoma,100.0,92.7669126601,17.0483721886,17.1070584956,58.611481976,7.2330873399
0,Alabama,100.0,92.293393695,11.0944550211,17.0336836109,64.1637560149,7.706606305
0,Connecticut,100.0,91.2661955241,8.2273262662,16.9066548881,66.1307420495,8.73380447585
0,Mississippi,100.0,90.7773711799,11.0770448027,16.7119968351,62.9883295421,9.2226288201
0,Indiana,100.0,91.8682634731,14.8213572854,16.6926147705,60.3542914172,8.13173652695
0,Kansas,100.0,90.5845323741,18.4514388489,16.6816546763,55.4514388489,9.4154676259
0,Minnesota,100.0,92.5369650504,15.6110567471,16.3166919534,60.6092163499,7.46303494959
0,Wisconsin,100.0,92.4065431848,18.2092234558,16.2700368127,57.9272829164,7.59345681517
0,Nebraska,100.0,91.617357002,21.5880117381,15.9546832155,54.0770673979,8.38264299803
0,Iowa,100.0,91.0040694294,18.0001660992,15.3076986961,57.6945436426,8.99593057055
0,Arkansas,100.0,90.7372766561,18.6329527618,14.9884968501,57.1158270442,9.26272334387
0,Vermont,100.0,86.9864997972,17.5792340228,14.8328408367,54.5744249377,13.0135002028
0,Delaware,100.0,86.1211548089,10.5634978027,14.5463647995,61.0112922067,13.8732825277
0,Utah,100.0,93.869329431,16.5343892571,14.4168029612,62.9181372127,6.13239218387
0,Idaho,100.0,92.9173789174,26.886039886,14.396011396,51.6353276353,7.08262108262
0,South Dakota,100.0,90.5508160237,21.021884273,14.340689911,55.1836053412,9.44918397626
0,North Dakota,100.0,90.1507100763,18.2880881074,13.8150903294,58.0475316395,9.84928992368
