,GEO.display-label,All firms,Firms with less than 2 years in business,Firms with 2 to 3 years in business,Firms with 4 to 5 years in business,Firms with 6 to 10 years in business,Firms with 11 to 15 years in business,Firms with 16 or more years in business
0,Alabama,100.0,7.41729002084,11.2038855327,8.69297995773,19.7214768622,45.2832451393,7.68112248722
0,Alaska,100.0,7.99120708605,12.0514644081,8.98040990496,21.6137583242,41.8891834228,7.48044223185
0,Arizona,100.0,9.51681190398,13.8585169352,10.7684561,22.4617724433,37.433204538,5.96123807958
0,Arkansas,100.0,7.77483927842,11.7418134125,8.17906211701,20.7185705992,44.1204928078,7.46522178503
0,California,100.0,9.64010395889,14.221159036,9.98081571351,22.3029063901,40.5166850492,3.33847652125
0,Colorado,100.0,8.83837558808,13.6222556194,9.77930606377,22.7759082593,39.7943348144,5.18981965499
0,Connecticut,100.0,7.19081272085,10.8421672556,7.36012956419,17.9166666667,49.7055359246,6.9832155477
0,Delaware,100.0,8.89469878178,12.304611448,6.58619346943,18.6126717472,41.4640930077,12.1377315459
0,District of Columbia,100.0,8.42105263158,11.0352039038,9.28546531893,17.3370512374,39.3028929941,14.6113628442
0,Florida,100.0,10.6237308392,15.6598623609,10.8098322302,22.695001342,36.5163845184,3.69493551017
0,Georgia,100.0,8.75300588305,13.6572257348,9.84862278758,22.0027500298,39.962705075,5.77569048979
0,Hawaii,100.0,7.09677419355,10.4043010753,8.70537634409,18.8043010753,46.576344086,8.41720430108
0,Idaho,100.0,7.66381766382,12.7321937322,8.57264957265,24.1196581197,40.5299145299,6.38176638177
0,Illinois,100.0,7.84421920832,12.002605474,8.58727715522,20.0891171675,46.0339126502,5.44245346034
0,Indiana,100.0,7.57085828343,10.8133732535,8.2255489022,18.8243512974,47.3512974052,7.21457085828
0,Iowa,100.0,5.87991030645,10.2699111369,8.08570716718,19.2691636907,49.024167428,7.46947927913
0,Kansas,100.0,7.38848920863,10.6672661871,8.04136690647,19.3291366906,47.285971223,7.28776978417
0,Kentucky,100.0,8.4850480626,11.4926847627,7.97384391024,18.3186714964,46.1871383544,7.54104530272
0,Louisiana,100.0,7.70387219913,11.3263785395,8.96933092792,19.4812665046,45.4310141972,7.08813763171
0,Maine,100.0,7.31901860064,10.362760425,7.88054749067,19.9566091312,48.0745301981,6.40653415436
0,Maryland,100.0,7.02633384033,12.262284652,8.50357380732,19.3025359617,46.519141491,6.38613024763
0,Massachusetts,100.0,7.39193634764,11.5002677683,8.00015301048,18.7476092112,49.0658710122,5.29492770255
0,Michigan,100.0,7.37851836286,11.1067159474,7.87915497484,18.9327169116,48.6983448088,6.00516706429
0,Minnesota,100.0,6.76278627153,10.733555378,8.76657479643,19.0862652506,48.7471832946,5.90363500884
0,Mississippi,100.0,7.20502423104,11.3539709228,8.35476214024,18.9867471071,45.8980318465,8.19899119771
0,Missouri,100.0,10.1374045802,13.2741151978,8.45616470044,18.6231783484,43.2579227388,6.25121443442
0,Montana,100.0,7.85343752052,11.4715345722,8.37875106704,22.4834197912,44.0967890209,5.71278481844
